"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"140116","CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL","4201 MEDICAL CENTER DRIVE","","","MCHENRY","IL","60050","MCHENRY","8153445000","100","313","","96","79","","94","254",""
"140117","PRESENCE RESURRECTION MEDICAL CENTER","7435 W TALCOTT AVENUE","","","CHICAGO","IL","60631","COOK","7737748000","100","534","","99","97","","98","334",""
"140118","METROSOUTH MEDICAL CENTER","12935 S GREGORY","","","BLUE ISLAND","IL","60406","COOK","7085972000","100","475","","100","171","","100","424",""
"140119","RUSH UNIVERSITY MEDICAL CENTER","1653 WEST CONGRESS PARKWAY","","","CHICAGO","IL","60612","COOK","3129425000","100","294","Data submitted were based on a sample of cases/patients","98","133","Data submitted were based on a sample of cases/patients","100","271","Data submitted were based on a sample of cases/patients"
"140120","PEKIN MEMORIAL HOSPITAL","600 SOUTH 13TH STREET","","","PEKIN","IL","61554","TAZEWELL","3093471151","100","116","","88","34","","92","93",""
"140122","HINSDALE HOSPITAL","120 NORTH OAK ST","","","HINSDALE","IL","60521","DUPAGE","6308569000","100","187","","100","44","","97","132",""
"140124","JOHN H STROGER JR HOSPITAL","1901 W HARRISON ST","","","CHICAGO","IL","60612","COOK","3128646000","100","284","Data submitted were based on a sample of cases/patients","99","148","Data submitted were based on a sample of cases/patients","94","280","Data submitted were based on a sample of cases/patients"
"140125","GATEWAY REGIONAL MEDICAL CENTER","2100 MADISON AVENUE","","","GRANITE CITY","IL","62040","MADISON","6187983175","100","191","Data submitted were based on a sample of cases/patients","100","44","Data submitted were based on a sample of cases/patients","100","137","Data submitted were based on a sample of cases/patients"
"140127","ADVOCATE BROMENN MEDICAL CENTER","1304 FRANKLIN AVENUE","","","NORMAL","IL","61761","MCLEAN","3094541400","100","229","","100","65","","98","161",""
"140130","LAKE FOREST HOSPITAL","660 N WESTMORELAND ROAD","","","LAKE FOREST","IL","60045","LAKE","8472345600","100","156","","100","39","","81","108",""
"140133","HOLY CROSS HOSPITAL","2701 W 68TH STREET","","","CHICAGO","IL","60629","COOK","7734718000","100","271","Data submitted were based on a sample of cases/patients","97","122","Data submitted were based on a sample of cases/patients","93","225","Data submitted were based on a sample of cases/patients"
"140135","DECATUR MEMORIAL HOSPITAL","2300 NORTH EDWARD STREET","","","DECATUR","IL","62526","MACON","2178778121","100","290","","97","76","","100","216",""
"140137","GREENVILLE REGIONAL HOSPITAL","200 HEALTHCARE DR","","","GREENVILLE","IL","62246","BOND","6186641230","84","25","","Not Available","Not Available","The number of cases/patients is too few to report","94","17","The number of cases/patients is too few to report"
"140143","ST MARGARETS HOSPITAL","600 E 1ST ST","","","SPRING VALLEY","IL","61362","BUREAU","8156641176","99","72","","93","14","The number of cases/patients is too few to report","72","47",""
"140145","ST JOSEPHS HOSPITAL","9515 HOLY CROSS LN","","","BREESE","IL","62230","CLINTON","6185264511","100","24","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","17","The number of cases/patients is too few to report"
"140147","RICHLAND MEMORIAL HOSPITAL","800 EAST LOCUST","","","OLNEY","IL","62450","RICHLAND","6183952131","100","51","","100","19","The number of cases/patients is too few to report","100","39",""
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","","","SPRINGFIELD","IL","62781","SANGAMON","2177883000","100","307","Data submitted were based on a sample of cases/patients","99","80","Data submitted were based on a sample of cases/patients","97","236","Data submitted were based on a sample of cases/patients"
"140150","UNIVERSITY OF ILLINOIS HOSPITAL","1740 WEST TAYLOR ST SUITE 1400","","","CHICAGO","IL","60612","COOK","3129963900","99","301","Data submitted were based on a sample of cases/patients","96","155","Data submitted were based on a sample of cases/patients","92","286","Data submitted were based on a sample of cases/patients"
"140151","SACRED HEART HOSPITAL","3240 W FRANKLIN BLVD","","","CHICAGO","IL","60624","COOK","7737223020","89","129","Data submitted were based on a sample of cases/patients","80","25","Data submitted were based on a sample of cases/patients","70","96","Data submitted were based on a sample of cases/patients"
"140155","PRESENCE ST MARYS HOSPITAL","500 W COURT ST","","","KANKAKEE","IL","60901","KANKAKEE","8159372490","100","165","","98","60","","95","132",""
"140158","MERCY HOSPITAL AND MEDICAL CENTER","2525 S MICHIGAN AVE","","","CHICAGO","IL","60616","COOK","3125672000","98","303","Data submitted were based on a sample of cases/patients","91","148","Data submitted were based on a sample of cases/patients","94","267","Data submitted were based on a sample of cases/patients"
"140160","FHN MEMORIAL HOSPITAL","1045 WEST STEPHENSON STREET","","","FREEPORT","IL","61032","STEPHENSON","8152354131","100","177","","99","68","","98","128",""
"140161","SAINT JAMES HOSPITAL","2500 WEST REYNOLDS STREET","","","PONTIAC","IL","61764","LIVINGSTON","8158422828","100","47","","Not Available","Not Available","The number of cases/patients is too few to report","100","40",""
"140162","ST JOSEPH MEDICAL CENTER","2200 E WASHINGTON","","","BLOOMINGTON","IL","61701","MCLEAN","3096623311","100","180","","98","54","","100","139",""
"140164","MEMORIAL HOSPITAL OF CARBONDALE","405 W JACKSON","","","CARBONDALE","IL","62902","JACKSON","6185490721","100","227","","98","65","","94","196",""
"140166","ST MARYS HOSPITAL","1800 E LAKE SHORE DR","","","DECATUR","IL","62521","MACON","2174647000","100","276","","99","68","","97","208",""
"140167","IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN STREET","","","WATSEKA","IL","60970","IROQUOIS","8154325201","100","25","","Not Available","Not Available","The number of cases/patients is too few to report","100","17","The number of cases/patients is too few to report"
"140172","FRANCISCAN ST JAMES HEALTH","20201 S CRAWFORD AVENUE","","","OLYMPIA FIELDS","IL","60461","COOK","7087474000","99","552","Data submitted were based on a sample of cases/patients","93","194","Data submitted were based on a sample of cases/patients","94","454","Data submitted were based on a sample of cases/patients"
"140174","PRESENCE MERCY MEDICAL CENTER","1325 N HIGHLAND AVENUE","","","AURORA","IL","60506","KANE","6308592222","99","211","","98","48","","97","166",""
"140176","CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL","3701 DOTY ROAD","","","WOODSTOCK","IL","60098","MCHENRY","8157885823","99","108","","89","18","The number of cases/patients is too few to report","92","74",""
"140177","JACKSON PARK HOSPITAL","7531 S STONY ISLAND AVE","","","CHICAGO","IL","60649","COOK","7739477500","100","219","","100","81","","100","172",""
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","","","EVERGREEN PARK","IL","60805","COOK","7084226200","100","318","Data submitted were based on a sample of cases/patients","100","101","Data submitted were based on a sample of cases/patients","95","258","Data submitted were based on a sample of cases/patients"
"140180","PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER","2233 W DIVISION ST","","","CHICAGO","IL","60622","COOK","3127702000","100","295","","100","113","","100","248",""
"140181","SOUTH SHORE HOSPITAL","8012 SOUTH CRANDON AVENUE","","","CHICAGO","IL","60617","COOK","7737680810","94","163","","82","51","","84","132",""
"140182","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","836 WEST WELLINGTON AVENUE","","","CHICAGO","IL","60657","COOK","7739751600","100","242","Data submitted were based on a sample of cases/patients","100","86","Data submitted were based on a sample of cases/patients","99","183","Data submitted were based on a sample of cases/patients"
"140184","HEARTLAND REGIONAL MEDICAL CENTER","3333 W DE YOUNG","","","MARION","IL","62959","WILLIAMSON","6189987000","100","91","Data submitted were based on a sample of cases/patients","100","30","Data submitted were based on a sample of cases/patients","86","70","Data submitted were based on a sample of cases/patients"
"140185","MEMORIAL HOSPITAL","4500 MEMORIAL DRIVE","","","BELLEVILLE","IL","62226","SAINT CLAIR","6182337750","100","692","","98","211","","92","533",""
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","","","KANKAKEE","IL","60901","KANKAKEE","8159331671","100","259","","100","108","","96","178",""
"140187","ST ELIZABETH HOSPITAL","211 S THIRD ST","","","BELLEVILLE","IL","62220","SAINT CLAIR","6182342120","100","364","","100","82","","99","295",""
"140189","SARAH BUSH LINCOLN HEALTH CENTER","1000 HEALTH CENTER DRIVE P O BOX 372","","","MATTOON","IL","61938","COLES","2172582572","100","261","","98","62","","100","207",""
"140191","INGALLS MEMORIAL HOSPITAL","ONE INGALLS DRIVE","","","HARVEY","IL","60426","COOK","7083332300","100","308","Data submitted were based on a sample of cases/patients","100","94","Data submitted were based on a sample of cases/patients","100","249","Data submitted were based on a sample of cases/patients"
"140197","METHODIST HOSPITAL OF CHICAGO","5025 N PAULINA STREET","","","CHICAGO","IL","60640","COOK","7732719040","100","38","","100","11","The number of cases/patients is too few to report","100","15","The number of cases/patients is too few to report"
"140200","ELMHURST MEMORIAL HOSPITAL","155 EAST BRUSH HILL ROAD","","","ELMHURST","IL","60126","DUPAGE","6308331400","100","297","Data submitted were based on a sample of cases/patients","100","84","Data submitted were based on a sample of cases/patients","100","242","Data submitted were based on a sample of cases/patients"
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","","","LIBERTYVILLE","IL","60048","LAKE","8479905200","100","285","Data submitted were based on a sample of cases/patients","100","83","Data submitted were based on a sample of cases/patients","95","195","Data submitted were based on a sample of cases/patients"
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","","","CHICAGO","IL","60622","COOK","7732928200","100","96","","88","34","","90","84",""
"140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","4440 W 95TH STREET","","","OAK LAWN","IL","60453","COOK","7086848000","100","345","Data submitted were based on a sample of cases/patients","100","120","Data submitted were based on a sample of cases/patients","100","291","Data submitted were based on a sample of cases/patients"
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","","","PEORIA","IL","61636","PEORIA","3096725522","100","267","","95","101","","95","205",""
"140210","HARRISBURG MEDICAL CENTER","100 DOCTOR WARREN TUTTLE DR","","","HARRISBURG","IL","62946","SALINE","6182537671","90","63","","100","23","The number of cases/patients is too few to report","97","32",""
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","","","GENEVA","IL","60134","KANE","6302083000","100","189","","97","34","","94","142",""
"140213","SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","1900 SILVER CROSS BLVD","","","NEW LENOX","IL","60451","WILL","8157401100","99","545","","99","138","","93","456",""
"140217","PRESENCE SAINT JOSEPH HOSPITAL - ELGIN","77 N AIRLITE STREET","","","ELGIN","IL","60123","KANE","8476953200","99","143","","95","21","The number of cases/patients is too few to report","99","102",""
