"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"460052","TIMPANOGOS REGIONAL HOSPITAL","750 WEST 800 NORTH","","","OREM","UT","84057","UTAH","8017146800","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","27","123.46","73.07","173.84","1193","0.25","0.00","0.65","597","4.28","0.64","7.92","52","0.79","0.00","2.94","1250","0.99","0.00","2.75","Not Available","0.46","0.10","0.82"
"510008","CITY HOSPITAL","2500 HOSPITAL DRIVE","","","MARTINSBURG","WV","25401","BERKELEY","3042641000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","59","118.84","76.64","161.04","5701","0.24","0.00","0.56","997","1.83","0.00","4.77","152","0.59","0.00","2.45","5877","1.89","0.51","3.28","Not Available","0.50","0.22","0.77"
"271338","BIG HORN CO MEMORIAL HOSPITAL","17 N MILES","","","HARDIN","MT","59034","BIG HORN","4066652310","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"271325","ST LUKE COMMUNITY HOSPITAL","107 6TH AVE SW","","","RONAN","MT","59864","LAKE","4066764441","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"370139","PERRY MEMORIAL HOSPITAL","501 FOURTEENTH STREET","","","PERRY","OK","73077","NOBLE","5803363541","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","560","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","575","1.75","0.00","4.10","Not Available","0.59","0.11","1.07"
"371321","HOLDENVILLE GENERAL HOSPITAL","100 MCDOUGAL DRIVE","","","HOLDENVILLE","OK","74848","HUGHES","4053794200","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"310019","ST JOSEPH'S REGIONAL MEDICAL CENTER","703 MAIN ST","","","PATERSON","NJ","07503","PASSAIC","9737542000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","138","134.03","101.19","166.86","18617","0.20","0.00","0.42","3736","3.02","1.09","4.94","468","0.80","0.00","2.20","19420","1.39","0.58","2.20","Not Available","0.51","0.35","0.68"
"341326","ANGEL MEDICAL CENTER","120 RIVERVIEW ST PO BOX 1209","","","FRANKLIN","NC","28734","MACON","8285248411","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050543","COLLEGE HOSPITAL COSTA MESA","301 VICTORIA STREET","","","COSTA MESA","CA","92627","ORANGE","9496422734","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","566","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","570","1.79","0.00","4.17","Not Available","0.60","0.11","1.09"
"450092","FORT DUNCAN MEDICAL CENTER","3333 N FOSTER MALDONADO BLVD","","","EAGLE PASS","TX","78852","MAVERICK","8307735321","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","32","114.62","66.52","162.71","3382","0.22","0.00","0.58","442","3.19","0.00","7.10","80","0.71","0.00","2.75","3450","1.13","0.00","2.79","Not Available","0.42","0.09","0.76"
"440159","DELTA MEDICAL CENTER","3000 GETWELL RD","","","MEMPHIS","TN","38118","SHELBY","9013698100","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","10","Not Available","Not Available","Not Available","1478","0.26","0.00","0.66","177","3.26","0.00","7.86","24","Not Available","Not Available","Not Available","1499","1.76","0.00","3.83","Not Available","0.58","0.17","0.98"
"330162","NORTHERN WESTCHESTER HOSPITAL","400 EAST MAIN STREET","","","MOUNT KISCO","NY","10549","WESTCHESTER","9146661200","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","67","111.44","68.39","154.49","6782","0.24","0.00","0.56","1736","3.33","0.70","5.95","260","1.20","0.00","2.92","6773","1.61","0.44","2.78","Not Available","0.57","0.32","0.81"
"450698","LAMB HEALTHCARE CENTER","1500 S SUNSET","","","LITTLEFIELD","TX","79339","LAMB","8063856411","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","376","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","385","1.78","0.00","4.15","Not Available","0.60","0.12","1.08"
"281310","GARDEN COUNTY HEALTH SERVICES","1100 WEST 2ND ST","","","OSHKOSH","NE","69154","GARDEN","3087723283","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"361334","PIKE COMMUNITY HOSPITAL","100 DAWN LANE","","","WAVERLY","OH","45690","PIKE","7409472186","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490088","BEDFORD MEMORIAL HOSPITAL","1613 OAKWOOD STREET","","","BEDFORD","VA","24523","Bedford City","5405862441","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","4","Not Available","Not Available","Not Available","1496","0.39","0.00","0.81","75","5.03","0.11","9.94","30","0.81","0.00","2.98","1536","1.67","0.00","3.68","Not Available","0.66","0.24","1.08"
"450747","PALESTINE REGIONAL MEDICAL CENTER","2900 S LOOP 256","","","PALESTINE","TX","75801","ANDERSON","9037311000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","19","Not Available","Not Available","Not Available","3549","0.24","0.00","0.62","514","4.04","0.11","7.96","60","0.78","0.00","2.92","3645","0.98","0.00","2.74","Not Available","0.45","0.09","0.80"
"140117","PRESENCE RESURRECTION MEDICAL CENTER","7435 W TALCOTT AVENUE","","","CHICAGO","IL","60631","COOK","7737748000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Better than U.S. National Rate","","No Different than U.S. National Rate","","182","83.29","56.00","110.57","13199","0.26","0.03","0.49","3679","6.00","4.09","7.91","577","1.78","0.52","3.04","14000","0.77","0.00","1.57","Not Available","0.52","0.35","0.69"
"340141","NEW HANOVER REGIONAL MEDICAL CENTER","2131 S 17TH ST BOX 9000","","","WILMINGTON","NC","28402","NEW HANOVER","9103437000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","393","105.97","81.14","130.80","28125","0.34","0.18","0.51","10042","3.75","2.59","4.91","890","0.50","0.00","1.60","29004","2.76","2.19","3.33","Not Available","0.71","0.59","0.82"
