"State","Diagnosis Related Group","Number Of Cases","Footnote"
"MA","Permanent cardiac pacemaker implant w/o CC/MCC","640",""
"MD","Permanent cardiac pacemaker implant w/o CC/MCC","401",""
"ME","Permanent cardiac pacemaker implant w/o CC/MCC","151",""
"MI","Permanent cardiac pacemaker implant w/o CC/MCC","1049",""
"MN","Permanent cardiac pacemaker implant w/o CC/MCC","519",""
"MO","Permanent cardiac pacemaker implant w/o CC/MCC","658",""
"MS","Permanent cardiac pacemaker implant w/o CC/MCC","398",""
"MT","Permanent cardiac pacemaker implant w/o CC/MCC","95",""
"NC","Permanent cardiac pacemaker implant w/o CC/MCC","916",""
"ND","Permanent cardiac pacemaker implant w/o CC/MCC","121",""
"NE","Permanent cardiac pacemaker implant w/o CC/MCC","255",""
"NH","Permanent cardiac pacemaker implant w/o CC/MCC","142",""
"NJ","Permanent cardiac pacemaker implant w/o CC/MCC","1067",""
"NM","Permanent cardiac pacemaker implant w/o CC/MCC","108",""
"NV","Permanent cardiac pacemaker implant w/o CC/MCC","150",""
"NY","Permanent cardiac pacemaker implant w/o CC/MCC","1944",""
"OH","Permanent cardiac pacemaker implant w/o CC/MCC","1106",""
"OK","Permanent cardiac pacemaker implant w/o CC/MCC","355",""
"OR","Permanent cardiac pacemaker implant w/o CC/MCC","234",""
"PA","Permanent cardiac pacemaker implant w/o CC/MCC","1347",""
"PR","Permanent cardiac pacemaker implant w/o CC/MCC","101",""
"RI","Permanent cardiac pacemaker implant w/o CC/MCC","36",""
"SC","Permanent cardiac pacemaker implant w/o CC/MCC","553",""
"SD","Permanent cardiac pacemaker implant w/o CC/MCC","129",""
"TN","Permanent cardiac pacemaker implant w/o CC/MCC","668",""
"TX","Permanent cardiac pacemaker implant w/o CC/MCC","1739",""
"UT","Permanent cardiac pacemaker implant w/o CC/MCC","146",""
"VA","Permanent cardiac pacemaker implant w/o CC/MCC","707",""
"VI","Permanent cardiac pacemaker implant w/o CC/MCC","*","The number of cases/patients is too few to report"
"VT","Permanent cardiac pacemaker implant w/o CC/MCC","53",""
"WA","Permanent cardiac pacemaker implant w/o CC/MCC","437",""
"WI","Permanent cardiac pacemaker implant w/o CC/MCC","455",""
"WV","Permanent cardiac pacemaker implant w/o CC/MCC","277",""
"WY","Permanent cardiac pacemaker implant w/o CC/MCC","31",""
"AK","Permanent cardiac pacemaker implant w CC","62",""
"AL","Permanent cardiac pacemaker implant w CC","543",""
"AR","Permanent cardiac pacemaker implant w CC","377",""
"AZ","Permanent cardiac pacemaker implant w CC","622",""
"CA","Permanent cardiac pacemaker implant w CC","2447",""
"CO","Permanent cardiac pacemaker implant w CC","320",""
"CT","Permanent cardiac pacemaker implant w CC","445",""
"DC","Permanent cardiac pacemaker implant w CC","97",""
"DE","Permanent cardiac pacemaker implant w CC","99",""
"FL","Permanent cardiac pacemaker implant w CC","2562",""
"GA","Permanent cardiac pacemaker implant w CC","711",""
"GU","Permanent cardiac pacemaker implant w CC","*","The number of cases/patients is too few to report"
"HI","Permanent cardiac pacemaker implant w CC","79",""
"IA","Permanent cardiac pacemaker implant w CC","325",""
"ID","Permanent cardiac pacemaker implant w CC","85",""
"IL","Permanent cardiac pacemaker implant w CC","1504",""
"IN","Permanent cardiac pacemaker implant w CC","801",""
"KS","Permanent cardiac pacemaker implant w CC","397",""
"KY","Permanent cardiac pacemaker implant w CC","526",""
"LA","Permanent cardiac pacemaker implant w CC","412",""
"MA","Permanent cardiac pacemaker implant w CC","815",""
"MD","Permanent cardiac pacemaker implant w CC","493",""
"ME","Permanent cardiac pacemaker implant w CC","172",""
"MI","Permanent cardiac pacemaker implant w CC","1303",""
"MN","Permanent cardiac pacemaker implant w CC","637",""
"MO","Permanent cardiac pacemaker implant w CC","786",""
"MS","Permanent cardiac pacemaker implant w CC","396",""
"MT","Permanent cardiac pacemaker implant w CC","88",""
"NC","Permanent cardiac pacemaker implant w CC","1017",""
"ND","Permanent cardiac pacemaker implant w CC","126",""
"NE","Permanent cardiac pacemaker implant w CC","267",""
"NH","Permanent cardiac pacemaker implant w CC","175",""
"NJ","Permanent cardiac pacemaker implant w CC","1241",""
"NM","Permanent cardiac pacemaker implant w CC","98",""
"NV","Permanent cardiac pacemaker implant w CC","192",""
"NY","Permanent cardiac pacemaker implant w CC","1998",""
"OH","Permanent cardiac pacemaker implant w CC","1265",""
"OK","Permanent cardiac pacemaker implant w CC","424",""
"OR","Permanent cardiac pacemaker implant w CC","242",""
"PA","Permanent cardiac pacemaker implant w CC","1579",""
"PR","Permanent cardiac pacemaker implant w CC","43",""
"RI","Permanent cardiac pacemaker implant w CC","75",""
"SC","Permanent cardiac pacemaker implant w CC","573",""
"SD","Permanent cardiac pacemaker implant w CC","139",""
"TN","Permanent cardiac pacemaker implant w CC","854",""
"TX","Permanent cardiac pacemaker implant w CC","2131",""
"UT","Permanent cardiac pacemaker implant w CC","132",""
"VA","Permanent cardiac pacemaker implant w CC","836",""
"VI","Permanent cardiac pacemaker implant w CC","*","The number of cases/patients is too few to report"
"VT","Permanent cardiac pacemaker implant w CC","70",""
"WA","Permanent cardiac pacemaker implant w CC","469",""
"WI","Permanent cardiac pacemaker implant w CC","618",""
"WV","Permanent cardiac pacemaker implant w CC","304",""
"WY","Permanent cardiac pacemaker implant w CC","39",""
"AK","Perc cardiovasc proc w drug-eluting stent w/o MCC","156",""
"AL","Perc cardiovasc proc w drug-eluting stent w/o MCC","1886",""
"AR","Perc cardiovasc proc w drug-eluting stent w/o MCC","2464",""
"AZ","Perc cardiovasc proc w drug-eluting stent w/o MCC","1799",""
"CA","Perc cardiovasc proc w drug-eluting stent w/o MCC","6123",""
"CO","Perc cardiovasc proc w drug-eluting stent w/o MCC","920",""
"CT","Perc cardiovasc proc w drug-eluting stent w/o MCC","932",""
"DC","Perc cardiovasc proc w drug-eluting stent w/o MCC","330",""
"DE","Perc cardiovasc proc w drug-eluting stent w/o MCC","478",""
"FL","Perc cardiovasc proc w drug-eluting stent w/o MCC","8026",""
"GA","Perc cardiovasc proc w drug-eluting stent w/o MCC","2598",""
"HI","Perc cardiovasc proc w drug-eluting stent w/o MCC","180",""
"IA","Perc cardiovasc proc w drug-eluting stent w/o MCC","1590",""
"ID","Perc cardiovasc proc w drug-eluting stent w/o MCC","361",""
"IL","Perc cardiovasc proc w drug-eluting stent w/o MCC","4990",""
"IN","Perc cardiovasc proc w drug-eluting stent w/o MCC","3026",""
"KS","Perc cardiovasc proc w drug-eluting stent w/o MCC","887",""
"KY","Perc cardiovasc proc w drug-eluting stent w/o MCC","2808",""
"LA","Perc cardiovasc proc w drug-eluting stent w/o MCC","1657",""
"MA","Perc cardiovasc proc w drug-eluting stent w/o MCC","1521",""
"MD","Perc cardiovasc proc w drug-eluting stent w/o MCC","1230",""
"ME","Perc cardiovasc proc w drug-eluting stent w/o MCC","430",""
"MI","Perc cardiovasc proc w drug-eluting stent w/o MCC","5127",""
"MN","Perc cardiovasc proc w drug-eluting stent w/o MCC","2014",""
"MO","Perc cardiovasc proc w drug-eluting stent w/o MCC","2904",""
"MS","Perc cardiovasc proc w drug-eluting stent w/o MCC","1341",""
"MT","Perc cardiovasc proc w drug-eluting stent w/o MCC","384",""
"NC","Perc cardiovasc proc w drug-eluting stent w/o MCC","3536",""
"ND","Perc cardiovasc proc w drug-eluting stent w/o MCC","558",""
"NE","Perc cardiovasc proc w drug-eluting stent w/o MCC","646",""
"NH","Perc cardiovasc proc w drug-eluting stent w/o MCC","422",""
"NJ","Perc cardiovasc proc w drug-eluting stent w/o MCC","2684",""
"NM","Perc cardiovasc proc w drug-eluting stent w/o MCC","491",""
"NV","Perc cardiovasc proc w drug-eluting stent w/o MCC","644",""
"NY","Perc cardiovasc proc w drug-eluting stent w/o MCC","6582",""
"OH","Perc cardiovasc proc w drug-eluting stent w/o MCC","4383",""
"OK","Perc cardiovasc proc w drug-eluting stent w/o MCC","1357",""
"OR","Perc cardiovasc proc w drug-eluting stent w/o MCC","743",""
"PA","Perc cardiovasc proc w drug-eluting stent w/o MCC","4194",""
"PR","Perc cardiovasc proc w drug-eluting stent w/o MCC","255",""
"RI","Perc cardiovasc proc w drug-eluting stent w/o MCC","194",""
"SC","Perc cardiovasc proc w drug-eluting stent w/o MCC","1858",""
"SD","Perc cardiovasc proc w drug-eluting stent w/o MCC","484",""
"TN","Perc cardiovasc proc w drug-eluting stent w/o MCC","3271",""
"TX","Perc cardiovasc proc w drug-eluting stent w/o MCC","6113",""
"UT","Perc cardiovasc proc w drug-eluting stent w/o MCC","701",""
"VA","Perc cardiovasc proc w drug-eluting stent w/o MCC","2083",""
"VI","Perc cardiovasc proc w drug-eluting stent w/o MCC","22",""
"VT","Perc cardiovasc proc w drug-eluting stent w/o MCC","174",""
"WA","Perc cardiovasc proc w drug-eluting stent w/o MCC","1600",""
"WI","Perc cardiovasc proc w drug-eluting stent w/o MCC","1802",""
"WV","Perc cardiovasc proc w drug-eluting stent w/o MCC","1137",""
"WY","Perc cardiovasc proc w drug-eluting stent w/o MCC","149",""
"AK","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","30",""
"AL","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","575",""
"AR","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","333",""
"AZ","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","547",""
"CA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1821",""
"CO","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","266",""
"CT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","271",""
"DC","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","58",""
"DE","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","115",""
"FL","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","2035",""
"GA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","510",""
"GU","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","*","The number of cases/patients is too few to report"
"HI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","66",""
"IA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","213",""
"ID","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","88",""
"IL","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","981",""
"IN","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","476",""
"KS","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","160",""
"KY","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","495",""
"LA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","441",""
"MA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","558",""
"MD","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","374",""
"ME","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","97",""
"MI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","641",""
"MN","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","346",""
"MO","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","530",""
"MS","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","371",""
"MT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","72",""
"NC","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","799",""
"ND","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","57",""
"NE","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","137",""
"NH","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","72",""
"NJ","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","869",""
"NM","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","159",""
"NV","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","136",""
"NY","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1300",""
"OH","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","767",""
"OK","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","326",""
"OR","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","217",""
"PA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","942",""
"PR","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","173",""
"RI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","68",""
"SC","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","440",""
"SD","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","83",""
"TN","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","617",""
"TX","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","1723",""
"UT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","166",""
"VA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","567",""
"VI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","*","The number of cases/patients is too few to report"
"VT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","33",""
"WA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","425",""
"WI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","357",""
"WV","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","194",""
"WY","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","57",""
"AK","Laparoscopic cholecystectomy w/o c.d.e. w MCC","17",""
"AL","Laparoscopic cholecystectomy w/o c.d.e. w MCC","448",""
"AR","Laparoscopic cholecystectomy w/o c.d.e. w MCC","227",""
"AZ","Laparoscopic cholecystectomy w/o c.d.e. w MCC","383",""
"CA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","1530",""
"CO","Laparoscopic cholecystectomy w/o c.d.e. w MCC","276",""
"CT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","153",""
"DC","Laparoscopic cholecystectomy w/o c.d.e. w MCC","29",""
"DE","Laparoscopic cholecystectomy w/o c.d.e. w MCC","57",""
"FL","Laparoscopic cholecystectomy w/o c.d.e. w MCC","1505",""
"GA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","500",""
"HI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","37",""
"IA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","177",""
"ID","Laparoscopic cholecystectomy w/o c.d.e. w MCC","67",""
"IL","Laparoscopic cholecystectomy w/o c.d.e. w MCC","816",""
"IN","Laparoscopic cholecystectomy w/o c.d.e. w MCC","395",""
"KS","Laparoscopic cholecystectomy w/o c.d.e. w MCC","174",""
"KY","Laparoscopic cholecystectomy w/o c.d.e. w MCC","391",""
"LA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","337",""
"MA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","286",""
"MD","Laparoscopic cholecystectomy w/o c.d.e. w MCC","218",""
"ME","Laparoscopic cholecystectomy w/o c.d.e. w MCC","58",""
"MI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","520",""
"MN","Laparoscopic cholecystectomy w/o c.d.e. w MCC","255",""
"MO","Laparoscopic cholecystectomy w/o c.d.e. w MCC","467",""
"MS","Laparoscopic cholecystectomy w/o c.d.e. w MCC","261",""
"MT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","57",""
"NC","Laparoscopic cholecystectomy w/o c.d.e. w MCC","631",""
"ND","Laparoscopic cholecystectomy w/o c.d.e. w MCC","66",""
"NE","Laparoscopic cholecystectomy w/o c.d.e. w MCC","122",""
"NH","Laparoscopic cholecystectomy w/o c.d.e. w MCC","57",""
"NJ","Laparoscopic cholecystectomy w/o c.d.e. w MCC","504",""
"NM","Laparoscopic cholecystectomy w/o c.d.e. w MCC","125",""
"NV","Laparoscopic cholecystectomy w/o c.d.e. w MCC","107",""
"NY","Laparoscopic cholecystectomy w/o c.d.e. w MCC","713",""
"OH","Laparoscopic cholecystectomy w/o c.d.e. w MCC","608",""
"OK","Laparoscopic cholecystectomy w/o c.d.e. w MCC","250",""
"OR","Laparoscopic cholecystectomy w/o c.d.e. w MCC","129",""
"PA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","620",""
"PR","Laparoscopic cholecystectomy w/o c.d.e. w MCC","50",""
"RI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","51",""
"SC","Laparoscopic cholecystectomy w/o c.d.e. w MCC","291",""
"SD","Laparoscopic cholecystectomy w/o c.d.e. w MCC","75",""
"TN","Laparoscopic cholecystectomy w/o c.d.e. w MCC","443",""
"TX","Laparoscopic cholecystectomy w/o c.d.e. w MCC","1645",""
"UT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","122",""
"VA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","432",""
"VI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","*","The number of cases/patients is too few to report"
"VT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","17",""
"WA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","284",""
"WI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","297",""
"WV","Laparoscopic cholecystectomy w/o c.d.e. w MCC","133",""
"WY","Laparoscopic cholecystectomy w/o c.d.e. w MCC","35",""
"AK","Laparoscopic cholecystectomy w/o c.d.e. w CC","33",""
"AL","Laparoscopic cholecystectomy w/o c.d.e. w CC","660",""
"AR","Laparoscopic cholecystectomy w/o c.d.e. w CC","338",""
"AZ","Laparoscopic cholecystectomy w/o c.d.e. w CC","579",""
"CA","Laparoscopic cholecystectomy w/o c.d.e. w CC","2042",""
"CO","Laparoscopic cholecystectomy w/o c.d.e. w CC","310",""
"CT","Laparoscopic cholecystectomy w/o c.d.e. w CC","267",""
"DC","Laparoscopic cholecystectomy w/o c.d.e. w CC","36",""
"DE","Laparoscopic cholecystectomy w/o c.d.e. w CC","82",""
"FL","Laparoscopic cholecystectomy w/o c.d.e. w CC","2236",""
"GA","Laparoscopic cholecystectomy w/o c.d.e. w CC","704",""
"GU","Laparoscopic cholecystectomy w/o c.d.e. w CC","*","The number of cases/patients is too few to report"
"HI","Laparoscopic cholecystectomy w/o c.d.e. w CC","53",""
"IA","Laparoscopic cholecystectomy w/o c.d.e. w CC","241",""
"ID","Laparoscopic cholecystectomy w/o c.d.e. w CC","102",""
"IL","Laparoscopic cholecystectomy w/o c.d.e. w CC","1351",""
