Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"070004","SHARON HOSPITAL","50 HOSPITAL HILL ROAD, PO BOX 789","SHARON","CT","06069","LITCHFIELD","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7","16"
"070005","WATERBURY HOSPITAL","64 ROBBINS ST","WATERBURY","CT","06721","NEW HAVEN","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1","14"
"100128","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIRCLE","TAMPA","FL","33606","HILLSBOROUGH","0 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","14","15"
"100130","LAKESIDE MEDICAL CENTER","39200 HOOKER HWY","BELLE GLADE","FL","33430","PALM BEACH","5 out of 10","0 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","6 out of 10","3 out of 9","6 out of 10","9 out of 10","0 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","50","19"
"100131","AVENTURA HOSPITAL AND MEDICAL CENTER","20900 BISCAYNE BLVD","AVENTURA","FL","33180","DADE","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","6","16"
"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","PLANT CITY","FL","33563","HILLSBOROUGH","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","22","18"
"100135","TALLAHASSEE MEMORIAL HEALTHCARE","1300 MICCOSUKEE RD","TALLAHASSEE","FL","32308","LEON","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","5 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","10","17"
"100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27 N","DAVENPORT","FL","33837","POLK","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0","12"
"100140","BAPTIST MEDICAL CENTER - NASSAU","1250 S 18TH ST","FERNANDINA BEACH","FL","32034","NASSAU","7 out of 10","6 out of 9","7 out of 10","5 out of 10","5 out of 9","5 out of 10","6 out of 10","4 out of 9","6 out of 10","6 out of 10","5 out of 9","6 out of 10","6 out of 10","5 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","3 out of 10","3 out of 9","3 out of 10","7 out of 10","4 out of 9","7 out of 10","48","20"
"100142","JACKSON HOSPITAL","4250 HOSPITAL DR","MARIANNA","FL","32446","JACKSON","3 out of 10","0 out of 9","3 out of 10","9 out of 10","8 out of 9","9 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","2 out of 10","3 out of 9","3 out of 10","43","20"
"100150","LOWER KEYS MEDICAL CENTER","5900 COLLEGE ROAD","KEY WEST","FL","33040","MONROE","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1","13"
"100151","MAYO CLINIC","4500 SAN PABLO RD","JACKSONVILLE","FL","32224","DUVAL","5 out of 10","1 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","8 out of 10","7 out of 9","8 out of 10","2 out of 10","0 out of 9","2 out of 10","7 out of 10","0 out of 9","7 out of 10","8 out of 10","4 out of 9","8 out of 10","10 out of 10","0 out of 9","10 out of 10","43","20"
"100154","SOUTH MIAMI HOSPITAL, INC","6200 SW 73RD ST","SOUTH MIAMI","FL","33143","DADE","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","4 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","27","18"
"100156","LAKE CITY MEDICAL CENTER","340 NW COMMERCE DR","LAKE CITY","FL","32055","COLUMBIA","3 out of 10","0 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","5 out of 9","6 out of 10","5 out of 10","3 out of 9","5 out of 10","26","18"
"100157","LAKELAND REGIONAL MEDICAL CENTER","1324 LAKELAND HILLS BLVD","LAKELAND","FL","33805","POLK","1 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","11","17"
"100161","CENTRAL FLORIDA REGIONAL HOSPITAL","1401 W SEMINOLE BLVD","SANFORD","FL","32771","SEMINOLE","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2","15"
"100166","DOCTORS HOSPITAL OF SARASOTA","5731 BEE RIDGE RD","SARASOTA","FL","34233","SARASOTA","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","4 out of 10","3 out of 9","4 out of 10","7 out of 10","4 out of 9","7 out of 10","5 out of 10","2 out of 9","5 out of 10","26","19"
"100167","PLANTATION GENERAL HOSPITAL","401 NW 42ND AVE","PLANTATION","FL","33317","BROWARD","0 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","10","17"
"100168","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS RD","BOCA RATON","FL","33486","PALM BEACH","1 out of 10","4 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","21","16"
"100173","FLORIDA HOSPITAL TAMPA","3100 E FLETCHER AVE","TAMPA","FL","33613","HILLSBOROUGH","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3","16"
"070006","STAMFORD HOSPITAL","30 SHELBURNE ROAD","STAMFORD","CT","06904","FAIRFIELD","5 out of 10","4 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","23","18"
"070007","LAWRENCE & MEMORIAL HOSPITAL","365 MONTAUK AVE","NEW LONDON","CT","06320","NEW LONDON","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","6 out of 10","4 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","11","14"
"070008","JOHNSON MEMORIAL HOSPITAL","201 CHESTNUT HILL RD","STAFFORD SPRINGS","CT","06076","TOLLAND","3 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","15","17"
"070010","BRIDGEPORT HOSPITAL","267 GRANT STREET","BRIDGEPORT","CT","06610","FAIRFIELD","5 out of 10","6 out of 9","6 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","27","15"
"070011","CHARLOTTE HUNGERFORD HOSPITAL","540 LITCHFIELD ST","TORRINGTON","CT","06790","LITCHFIELD","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","6 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","16","17"
"070012","ROCKVILLE GENERAL HOSPITAL","31 UNION ST","ROCKVILLE","CT","06066","TOLLAND","3 out of 10","2 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","15"
"070015","NEW MILFORD HOSPITAL","21 ELM ST","NEW MILFORD","CT","06776","LITCHFIELD","6 out of 10","4 out of 9","6 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","2 out of 9","4 out of 10","9 out of 10","9 out of 9","9 out of 10","5 out of 10","5 out of 9","5 out of 10","3 out of 10","1 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","3 out of 9","5 out of 10","38","20"
"070016","SAINT MARYS HOSPITAL","56 FRANKLIN ST","WATERBURY","CT","06706","NEW HAVEN","3 out of 10","4 out of 9","4 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","4 out of 9","4 out of 10","24","19"
"070017","MIDSTATE MEDICAL CENTER","435 LEWIS AVE","MERIDEN","CT","06450","NEW HAVEN","7 out of 10","2 out of 9","7 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","3 out of 9","6 out of 10","7 out of 10","3 out of 9","7 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","3 out of 9","5 out of 10","38","19"
"070018","GREENWICH HOSPITAL ASSOCIATION","5 PERRYRIDGE RD","GREENWICH","CT","06830","FAIRFIELD","5 out of 10","4 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","3 out of 10","1 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","0 out of 9","8 out of 10","28","18"
"070019","MILFORD HOSPITAL, INC","300 SEASIDE AVENUE","MILFORD","CT","06460","NEW HAVEN","7 out of 10","6 out of 9","7 out of 10","5 out of 10","4 out of 9","5 out of 10","7 out of 10","5 out of 9","7 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","1 out of 9","4 out of 10","46","20"
"070020","MIDDLESEX HOSPITAL","28 CRESCENT ST","MIDDLETOWN","CT","06457","MIDDLESEX","6 out of 10","4 out of 9","6 out of 10","1 out of 10","2 out of 9","2 out of 10","4 out of 10","1 out of 9","4 out of 10","5 out of 10","3 out of 9","5 out of 10","6 out of 10","4 out of 9","6 out of 10","4 out of 10","2 out of 9","4 out of 10","6 out of 10","1 out of 9","6 out of 10","6 out of 10","1 out of 9","6 out of 10","39","20"
"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVE","WILLIMANTIC","CT","06226","WINDHAM","5 out of 10","3 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","5 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","19","15"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","NEW HAVEN","CT","06504","NEW HAVEN","5 out of 10","6 out of 9","6 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","6 out of 9","6 out of 10","21","16"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","NORWICH","CT","06360","NEW LONDON","3 out of 10","2 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","3 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","13","17"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","HARTFORD","CT","06102","HARTFORD","1 out of 10","3 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","10 out of 10","9 out of 9","10 out of 10","0 out of 10","2 out of 9","2 out of 10","29","14"
"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","MANCHESTER","CT","06040","HARTFORD","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3","14"
"070028","ST VINCENT'S MEDICAL CENTER","2800 MAIN ST","BRIDGEPORT","CT","06606","FAIRFIELD","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","5 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","12","13"
"070029","BRISTOL HOSPITAL","BREWSTER RD","BRISTOL","CT","06010","HARTFORD","4 out of 10","0 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","3 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","18","18"
"070031","GRIFFIN HOSPITAL","130 DIVISION ST","DERBY","CT","06418","NEW HAVEN","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","5 out of 10","3 out of 9","5 out of 10","3 out of 10","1 out of 9","3 out of 10","8 out of 10","7 out of 9","8 out of 10","5 out of 10","2 out of 9","5 out of 10","30","19"
"070033","DANBURY HOSPITAL","24 HOSPITAL AVE","DANBURY","CT","06810","FAIRFIELD","4 out of 10","0 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","19","16"
"070034","NORWALK HOSPITAL ASSOCIATION","24 STEVENS STREET","NORWALK","CT","06856","FAIRFIELD","4 out of 10","4 out of 9","4 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","4 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","18","16"
"070035","HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET","NEW BRITAIN","CT","06050","HARTFORD","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","11","19"
"070036","JOHN DEMPSEY HOSPITAL","263 FARMINGTON AVE","FARMINGTON","CT","06032","HARTFORD","1 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","2 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","10","14"
"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","NEWARK","DE","19718","NEW CASTLE","4 out of 10","3 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","2 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","3 out of 9","4 out of 10","20","16"
"080003","ST FRANCIS HOSPITAL","7TH AND CLAYTON STS","WILMINGTON","DE","19805","NEW CASTLE","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","15","18"
"080004","BAYHEALTH - KENT GENERAL HOSPITAL","640 S STATE STREET","DOVER","DE","19901","KENT","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","9","19"
