"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"CO","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6693 - 7269","172"
"CT","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7773 - 9192","402"
"DC","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","9004 - 9451","69"
"DE","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7267 - 8025","88"
"FL","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6332 - 7033","1886"
"GA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6809 - 7675","546"
"HI","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7901 - 9536","56"
"IA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6292 - 6659","223"
"ID","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6605 - 7014","63"
"IL","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6752 - 8141","1346"
"IN","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6470 - 6975","526"
"KS","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6191 - 6886","231"
"KY","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6589 - 7358","514"
"LA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6327 - 7121","377"
"MA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7542 - 9655","592"
"MD","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","4883 - 11490","530"
"ME","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6959 - 7568","129"
"MI","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6908 - 8118","923"
"MN","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7007 - 7377","454"
"MO","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6213 - 7504","552"
"MS","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6632 - 7132","218"
"MT","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6274 - 6821","76"
"NC","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6577 - 7447","644"
"ND","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","5970 - 6724","57"
"NE","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6322 - 6984","180"
"NH","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7394 - 7783","82"
"NJ","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7480 - 9004","1082"
"NM","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6695 - 7486","100"
"NV","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6977 - 8193","89"
"NY","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7127 - 11626","1758"
"OH","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6310 - 7133","994"
"OK","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6182 - 6614","333"
"OR","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7367 - 7624","156"
"PA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6373 - 7778","1539"
"PR","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","3910 - 4341","85"
"RI","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6793 - 7792","104"
"SC","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6556 - 7294","411"
"SD","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6780 - 6846","78"
"TN","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6233 - 7127","531"
"TX","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6530 - 7478","1281"
"UT","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6631 - 7217","76"
"VA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6292 - 7161","521"
"VT","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7264 - 9812","40"
"WA","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","7348 - 8165","269"
"WI","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6604 - 7463","427"
"WV","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6096 - 6693","271"
"WY","310","Other Bladder Operations Via the Urethra with Complications or Preexisting Conditions","6534 - 6969","23"
"AK","315","Other Kidney & Urinary Tract Operations","14939 - 16448","28"
"AL","315","Other Kidney & Urinary Tract Operations","10532 - 12160","990"
"AR","315","Other Kidney & Urinary Tract Operations","11001 - 12160","476"
"AZ","315","Other Kidney & Urinary Tract Operations","11418 - 13595","521"
"CA","315","Other Kidney & Urinary Tract Operations","14256 - 18655","2184"
"CO","315","Other Kidney & Urinary Tract Operations","11840 - 13506","243"
"CT","315","Other Kidney & Urinary Tract Operations","14891 - 18987","369"
"DC","315","Other Kidney & Urinary Tract Operations","15715 - 16626","161"
"DE","315","Other Kidney & Urinary Tract Operations","12684 - 14007","102"
"FL","315","Other Kidney & Urinary Tract Operations","11183 - 12892","2368"
"GA","315","Other Kidney & Urinary Tract Operations","11875 - 14279","1014"
"HI","315","Other Kidney & Urinary Tract Operations","13883 - 16026","71"
"IA","315","Other Kidney & Urinary Tract Operations","11176 - 11623","418"
"ID","315","Other Kidney & Urinary Tract Operations","11527 - 12114","60"
"IL","315","Other Kidney & Urinary Tract Operations","11862 - 15232","1470"
"IN","315","Other Kidney & Urinary Tract Operations","11292 - 13024","698"
"KS","315","Other Kidney & Urinary Tract Operations","10791 - 12019","303"
"KY","315","Other Kidney & Urinary Tract Operations","11500 - 12872","690"
"LA","315","Other Kidney & Urinary Tract Operations","11074 - 12490","713"
"MA","315","Other Kidney & Urinary Tract Operations","13859 - 17374","563"
"MD","315","Other Kidney & Urinary Tract Operations","8237 - 20158","639"
"ME","315","Other Kidney & Urinary Tract Operations","12441 - 13569","100"
"MI","315","Other Kidney & Urinary Tract Operations","12577 - 15043","1150"
"MN","315","Other Kidney & Urinary Tract Operations","12578 - 14833","383"
"MO","315","Other Kidney & Urinary Tract Operations","11112 - 14050","801"
"MS","315","Other Kidney & Urinary Tract Operations","10877 - 12514","454"
"MT","315","Other Kidney & Urinary Tract Operations","11347 - 12006","60"
"NC","315","Other Kidney & Urinary Tract Operations","11949 - 13710","1096"
"ND","315","Other Kidney & Urinary Tract Operations","10948 - 12348","108"
"NE","315","Other Kidney & Urinary Tract Operations","11284 - 12235","196"
"NH","315","Other Kidney & Urinary Tract Operations","12879 - 17744","87"
"NJ","315","Other Kidney & Urinary Tract Operations","13945 - 16627","1293"
"NM","315","Other Kidney & Urinary Tract Operations","11801 - 14315","125"
"NV","315","Other Kidney & Urinary Tract Operations","12497 - 14415","115"
"NY","315","Other Kidney & Urinary Tract Operations","13888 - 21235","2017"
"OH","315","Other Kidney & Urinary Tract Operations","11281 - 13174","1528"
"OK","315","Other Kidney & Urinary Tract Operations","10812 - 13760","393"
"OR","315","Other Kidney & Urinary Tract Operations","12697 - 13844","177"
"PA","315","Other Kidney & Urinary Tract Operations","11917 - 13782","1388"
"PR","315","Other Kidney & Urinary Tract Operations","6825 - 7709","113"
"RI","315","Other Kidney & Urinary Tract Operations","12629 - 16862","69"
"SC","315","Other Kidney & Urinary Tract Operations","11661 - 13093","622"
"SD","315","Other Kidney & Urinary Tract Operations","10769 - 11950","127"
"TN","315","Other Kidney & Urinary Tract Operations","11139 - 13165","995"
"TX","315","Other Kidney & Urinary Tract Operations","11405 - 13505","2620"
"UT","315","Other Kidney & Urinary Tract Operations","12123 - 12639","97"
"VA","315","Other Kidney & Urinary Tract Operations","10986 - 12841","735"
"VT","315","Other Kidney & Urinary Tract Operations","17125","18"
"WA","315","Other Kidney & Urinary Tract Operations","13185 - 14313","468"
"WI","315","Other Kidney & Urinary Tract Operations","11536 - 15520","433"
"WV","315","Other Kidney & Urinary Tract Operations","10740 - 12335","322"
"WY","315","Other Kidney & Urinary Tract Operations","11459 - 12163","27"
"AK","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","6837 - 9782","20"
"AL","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4259 - 4673","571"
"AR","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4402 - 4906","330"
"AZ","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4760 - 5293","404"
"CA","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","5594 - 7003","1690"
"CO","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4581 - 5303","167"
"CT","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","5648 - 6510","398"
"DC","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","6275 - 7063","66"
"DE","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4841 - 5636","41"
"FL","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4480 - 5008","1517"
"GA","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4742 - 5272","454"
"HI","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","5436 - 6491","63"
"IA","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4434 - 4708","258"
"ID","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4557 - 4821","124"
"IL","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4772 - 5755","1172"
"IN","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4604 - 5041","627"
"KS","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4373 - 5209","239"
"KY","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4619 - 5197","441"
"LA","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4486 - 5084","313"
"MA","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","5249 - 6142","611"
"MD","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","3622 - 7434","411"
"ME","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4919 - 5273","146"
"MI","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4901 - 5932","775"
"MN","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4881 - 5169","456"
"MO","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4489 - 5079","602"
"MS","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4545 - 5000","318"
"MT","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4249 - 4735","65"
"NC","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4615 - 5052","517"
"ND","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4230 - 4753","100"
"NE","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","4470 - 4893","181"
"NH","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","5207 - 5461","65"
"NJ","336","Removal of Prostate Via Urethra with Complications or Preexisting Conditions","5267 - 6374","692"
