"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"441313","WELLMONT HANCOCK COUNTY HOSPITAL","1517 MAIN STREET HWY 33","","","SNEEDVILLE","TN","37869","HANCOCK","4237335001","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450658","EAST TEXAS MEDICAL CENTER - FAIRFIELD","125 NEWMAN ST","","","FAIRFIELD","TX","75840","FREESTONE","9033891612","92","39","","92","12","","94","31","","100","13",""
"521320","TOMAH MEM HSPTL","321 BUTTS AVE","","","TOMAH","WI","54660","MONROE","6083722181","100","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","13","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"330204","BELLEVUE HOSPITAL CENTER","462 FIRST AVENUE","","","NEW YORK","NY","10016","NEW YORK","2125614132","100","523","","97","301","","98","462","","98","118",""
"171337","WAMEGO CITY HOSPITAL","711 GENN DRIVE","","","WAMEGO","KS","66547","POTTAWATOMIE","7854587201","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"161329","JACKSON COUNTY REGIONAL HEALTH CENTER","700 W GROVE ST","","","MAQUOKETA","IA","52060","JACKSON","5636522474","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450451","GLEN ROSE MEDICAL CENTER","1021 HOLDEN STREET","","","GLEN ROSE","TX","76043","SOMERVELL","2548972215","95","39","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","64","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"390178","UPMC HORIZON","110 NORTH MAIN STREET","","","GREENVILLE","PA","16125","MERCER","7245882100","100","236","","100","47","","100","169","","100","42",""
"050110","LOMPOC VALLEY MEDICAL CENTER","1515 E OCEAN AVENUE","","","LOMPOC","CA","93436","SANTA BARBARA","8057373300","100","44","","85","13","","81","32","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"161332","MANNING REGIONAL HEALTHCARE CENTER","410 MAIN STREET","","","MANNING","IA","51455","CARROLL","7126552072","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"390185","HAZLETON GENERAL HOSPITAL","700 EAST BROAD STREET","","","HAZLETON","PA","18201","LUZERNE","5705014000","100","224","","100","38","","99","137","","100","23",""
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","","","MONTGOMERY                    ","AL","36109","MONTGOMERY","3342604100","100","50","","96","23","The number of cases is too small to reliably tell how well a hospital is performing","100","47","","100","8","The number of cases is too small to reliably tell how well a hospital is performing"
"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL","5909 HARRY HINES BLVD","","","DALLAS","TX","75390","DALLAS","2148793758","100","563","","99","217","","91","499","","100","83",""
"230066","MERCY HEALTH PARTNERS, HACKLEY CAMPUS","1700 CLINTON STREET","","","MUSKEGON","MI","49442","MUSKEGON","2317263511","100","79","","85","26","","88","56","","93","14",""
"240018","FAIRVIEW RED WING HOSPITAL","701 FAIRVIEW BOULEVARD, PO BOX 95","","","RED WING","MN","55066","GOODHUE","6512675000","100","50","","100","13","","100","32","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"271322","SHERIDAN MEMORIAL HOSPTIAL","440 W LAUREL AVE","","","PLENTYWOOD","MT","59254","SHERIDAN","4067653700","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450005","MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL","608 STRICKLAND DRIVE","","","ORANGE","TX","77630","ORANGE","4098839361","98","65","","94","36","","96","54","","100","14",""
"451376","LAVACA MEDICAL CENTER","1400 NORTH TEXANA STREET","","","HALLETTSVILLE","TX","77964","LAVACA","3617983671","95","39","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","16","","Not Available","0",""
"140185","MEMORIAL HOSPITAL","4500 MEMORIAL DRIVE","","","BELLEVILLE","IL","62226","SAINT CLAIR","6182337750","100","653","","96","226","","87","513","","99","108",""
"050272","REDLANDS COMMUNITY HOSPITAL","350 TERRACINA BLVD","","","REDLANDS","CA","92373","SAN BERNARDINO","9093355500","99","223","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","98","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","30","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050516","MERCY SAN JUAN MEDICAL CENTER","6501 COYLE AVE","","","CARMICHAEL","CA","95608","SACRAMENTO","9165375000","100","396","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","144","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","333","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","110","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"170039","SUMNER REGIONAL MEDICAL CENTER","1323 NORTH A ST","","","WELLINGTON","KS","67152","SUMNER","6203991299","18","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"440017","WELLMONT HOLSTON VALLEY MEDICAL CENTER","130 WEST RAVINE ROAD","","","KINGSPORT","TN","37662","SULLIVAN","4232244000","99","278","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","79","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","54","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"500152","SWEDISH ISSAQUAH","751 NE BLAKELY DR","","","ISSAQUAH","WA","98029","KING","4253134000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"150024","WILLIAM N WISHARD MEMORIAL HOSPITAL","1001 W 10TH ST","","","INDIANAPOLIS","IN","46202","MARION","3176307592","100","461","","96","215","","100","415","","99","173",""
"360211","TRINITY MEDICAL CTR EAST&TRINITY MEDICAL CTR WEST","380 SUMMIT AVENUE","","","STEUBENVILLE","OH","43952","JEFFERSON","7402647212","100","519","","97","149","","98","362","","100","97",""
"380051","SALEM HOSPITAL","890 OAK STREET, SE","","","SALEM","OR","97301","MARION","5035615200","100","279","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","53","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"101303","LAKE BUTLER HOSPITAL HAND SURGERY CENTER","850 E MAIN ST","","","LAKE BUTLER","FL","32054","UNION","3864962323","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
