"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"PA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","1032",""
"PR","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","179",""
"RI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","65",""
"SC","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","523",""
"SD","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","107",""
"TN","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","627",""
"TX","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","1941",""
"UT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","158",""
"VA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","629",""
"VI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","12",""
"VT","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","37",""
"WA","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","406",""
"WI","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","335",""
"WV","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","236",""
"WY","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","34",""
"AK","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","26",""
"AL","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","447",""
"AR","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","261",""
"AZ","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","392",""
"CA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","1499",""
"CO","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","228",""
"CT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","164",""
"DC","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","42",""
"DE","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","55",""
"FL","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","1535",""
"GA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","526",""
"HI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","51",""
"IA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","198",""
"ID","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","68",""
"IL","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","806",""
"IN","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","440",""
"KS","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","182",""
"KY","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","409",""
"LA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","319",""
"MA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","299",""
"MD","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","271",""
"ME","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","71",""
"MI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","530",""
"MN","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","240",""
"MO","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","490",""
"MS","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","253",""
"MT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","59",""
"NC","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","643",""
"ND","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","57",""
"NE","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","134",""
"NH","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","56",""
"NJ","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","522",""
"NM","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","108",""
"NV","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","134",""
"NY","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","733",""
"OH","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","644",""
"OK","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","299",""
"OR","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","119",""
"PA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","618",""
"PR","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","56",""
"RI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","63",""
"SC","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","317",""
"SD","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","52",""
"TN","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","474",""
"TX","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","1732",""
"UT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","113",""
"VA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","431",""
"VI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","22",""
"WA","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","282",""
"WI","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","303",""
"WV","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","136",""
"WY","Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","17",""
"AK","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","43",""
"AL","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","671",""
"AR","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","385",""
"AZ","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","632",""
"CA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","2065",""
"CO","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","323",""
"CT","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","279",""
"DC","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","38",""
"DE","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","86",""
"FL","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","2245",""
"GA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","756",""
"GU","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"HI","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","67",""
"IA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","274",""
"ID","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","118",""
"IL","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","1295",""
"IN","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","620",""
"KS","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","271",""
"KY","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","620",""
"LA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","468",""
"MA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","490",""
"MD","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","474",""
"ME","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","129",""
"MI","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","840",""
"MN","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","466",""
"MO","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","732",""
"MS","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","374",""
"MT","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","89",""
"NC","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","915",""
"ND","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","76",""
"NE","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","226",""
"NH","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","95",""
"NJ","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","886",""
"NM","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","178",""
"NV","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","214",""
"NY","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","1180",""
"OH","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","926",""
"OK","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","402",""
"OR","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","211",""
"PA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","1008",""
"PR","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","78",""
"RI","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","59",""
"SC","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","494",""
"SD","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","133",""
"TN","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","669",""
"TX","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","2369",""
"UT","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","141",""
"VA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","644",""
"VI","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","43",""
"WA","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","441",""
"WI","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","435",""
"WV","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","277",""
"WY","Laparoscopic cholecystectomy w/o c.d.e. w CC","","","42",""
"AK","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","52",""
"AR","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","63",""
"AZ","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","60",""
"CA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","319",""
"CO","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","53",""
"CT","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","41",""
"DC","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","15",""
"DE","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","20",""
"FL","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","329",""
"GA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","112",""
"HI","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","11",""
"IA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","37",""
"ID","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","19",""
"IL","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","171",""
"IN","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","95",""
"KS","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","43",""
"KY","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","76",""
"LA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","91",""
"MA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","85",""
"MD","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","95",""
"ME","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","30",""
"MI","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","166",""
"MN","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","63",""
"MO","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","86",""
"MS","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","48",""
"MT","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","17",""
"NC","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","150",""
"ND","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","11",""
"NE","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","29",""
"NH","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","27",""
"NJ","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","146",""
"NM","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","20",""
"NV","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","26",""
"NY","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","180",""
"OH","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","192",""
"OK","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","74",""
"OR","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","24",""
"PA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","221",""
"PR","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","21",""
"RI","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"SC","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","75",""
"SD","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","12",""
"TN","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","114",""
"TX","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","323",""
"UT","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","106",""
"VT","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","43",""
"WI","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","81",""
"WV","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","47",""
"WY","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Hernia procedures except inguinal and femoral w/o CC/MCC","","","13",""
"AL","Hernia procedures except inguinal and femoral w/o CC/MCC","","","234",""
"AR","Hernia procedures except inguinal and femoral w/o CC/MCC","","","183",""
"AZ","Hernia procedures except inguinal and femoral w/o CC/MCC","","","201",""
"CA","Hernia procedures except inguinal and femoral w/o CC/MCC","","","736",""
"CO","Hernia procedures except inguinal and femoral w/o CC/MCC","","","142",""
"CT","Hernia procedures except inguinal and femoral w/o CC/MCC","","","132",""
"DC","Hernia procedures except inguinal and femoral w/o CC/MCC","","","25",""
"DE","Hernia procedures except inguinal and femoral w/o CC/MCC","","","55",""
"FL","Hernia procedures except inguinal and femoral w/o CC/MCC","","","830",""
"GA","Hernia procedures except inguinal and femoral w/o CC/MCC","","","228",""
"HI","Hernia procedures except inguinal and femoral w/o CC/MCC","","","18",""
"IA","Hernia procedures except inguinal and femoral w/o CC/MCC","","","112",""
"ID","Hernia procedures except inguinal and femoral w/o CC/MCC","","","29",""
"IL","Hernia procedures except inguinal and femoral w/o CC/MCC","","","510",""
"IN","Hernia procedures except inguinal and femoral w/o CC/MCC","","","300",""
"KS","Hernia procedures except inguinal and femoral w/o CC/MCC","","","71",""
"KY","Hernia procedures except inguinal and femoral w/o CC/MCC","","","222",""
"LA","Hernia procedures except inguinal and femoral w/o CC/MCC","","","182",""
"MA","Hernia procedures except inguinal and femoral w/o CC/MCC","","","320",""
"MD","Hernia procedures except inguinal and femoral w/o CC/MCC","","","200",""
"ME","Hernia procedures except inguinal and femoral w/o CC/MCC","","","59",""
"MI","Hernia procedures except inguinal and femoral w/o CC/MCC","","","532",""
"MN","Hernia procedures except inguinal and femoral w/o CC/MCC","","","224",""
"MO","Hernia procedures except inguinal and femoral w/o CC/MCC","","","257",""
"MS","Hernia procedures except inguinal and femoral w/o CC/MCC","","","166",""
"MT","Hernia procedures except inguinal and femoral w/o CC/MCC","","","33",""
"NC","Hernia procedures except inguinal and femoral w/o CC/MCC","","","411",""
"ND","Hernia procedures except inguinal and femoral w/o CC/MCC","","","33",""
"NE","Hernia procedures except inguinal and femoral w/o CC/MCC","","","78",""
"NH","Hernia procedures except inguinal and femoral w/o CC/MCC","","","43",""
"NJ","Hernia procedures except inguinal and femoral w/o CC/MCC","","","326",""
"NM","Hernia procedures except inguinal and femoral w/o CC/MCC","","","79",""
