Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"LOS ANGELES COMMUNITY HOSPITAL","050663","CA","READM-30-PN-HRRP","146","","1.0804","26.1","24.2","43","07/01/2009","06/30/2012"
"LAGUNA HONDA HOSPITAL & REHABILITATION CENTER","050668","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LAGUNA HONDA HOSPITAL & REHABILITATION CENTER","050668","CA","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SEBASTIAN RIVER MEDICAL CENTER","100217","FL","READM-30-HF-HRRP","377","","1.0041","22.0","21.9","83","07/01/2009","06/30/2012"
"SEBASTIAN RIVER MEDICAL CENTER","100217","FL","READM-30-PN-HRRP","265","","0.9772","15.2","15.5","39","07/01/2009","06/30/2012"
"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","100220","FL","READM-30-AMI-HRRP","451","","0.9322","15.3","16.5","66","07/01/2009","06/30/2012"
"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","100220","FL","READM-30-HF-HRRP","851","","1.1041","25.5","23.1","223","07/01/2009","06/30/2012"
"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","100220","FL","READM-30-PN-HRRP","885","","0.9937","17.9","18.0","158","07/01/2009","06/30/2012"
"FORT WALTON BEACH MEDICAL CENTER","100223","FL","READM-30-AMI-HRRP","303","","1.0555","17.7","16.7","56","07/01/2009","06/30/2012"
"FORT WALTON BEACH MEDICAL CENTER","100223","FL","READM-30-HF-HRRP","520","","0.9614","22.3","23.2","114","07/01/2009","06/30/2012"
"FORT WALTON BEACH MEDICAL CENTER","100223","FL","READM-30-PN-HRRP","307","","0.9395","17.4","18.6","50","07/01/2009","06/30/2012"
"UNIVERSITY HOSPITAL AND MEDICAL CENTER","100224","FL","READM-30-AMI-HRRP","80","","1.0452","23.5","22.5","21","07/01/2009","06/30/2012"
"UNIVERSITY HOSPITAL AND MEDICAL CENTER","100224","FL","READM-30-HF-HRRP","358","","0.9754","23.9","24.5","84","07/01/2009","06/30/2012"
"UNIVERSITY HOSPITAL AND MEDICAL CENTER","100224","FL","READM-30-PN-HRRP","190","","1.0060","18.2","18.1","35","07/01/2009","06/30/2012"
"ORANGE PARK MEDICAL CENTER","100226","FL","READM-30-AMI-HRRP","266","","0.9796","18.4","18.8","48","07/01/2009","06/30/2012"
"ORANGE PARK MEDICAL CENTER","100226","FL","READM-30-HF-HRRP","697","","1.0272","24.5","23.8","172","07/01/2009","06/30/2012"
"ORANGE PARK MEDICAL CENTER","100226","FL","READM-30-PN-HRRP","609","","0.9425","18.3","19.4","108","07/01/2009","06/30/2012"
"WESTSIDE REGIONAL MEDICAL CENTER","100228","FL","READM-30-AMI-HRRP","206","","1.0288","19.2","18.7","41","07/01/2009","06/30/2012"
"WESTSIDE REGIONAL MEDICAL CENTER","100228","FL","READM-30-HF-HRRP","451","","1.0592","24.8","23.4","115","07/01/2009","06/30/2012"
"WESTSIDE REGIONAL MEDICAL CENTER","100228","FL","READM-30-PN-HRRP","159","","1.0233","18.0","17.6","30","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL PEMBROKE","100230","FL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL PEMBROKE","100230","FL","READM-30-HF-HRRP","136","","1.0577","24.2","22.9","36","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL PEMBROKE","100230","FL","READM-30-PN-HRRP","123","","1.0298","19.0","18.4","25","07/01/2009","06/30/2012"
"WEST FLORIDA HOSPITAL","100231","FL","READM-30-AMI-HRRP","302","","0.9869","18.1","18.3","54","07/01/2009","06/30/2012"
"WEST FLORIDA HOSPITAL","100231","FL","READM-30-HF-HRRP","633","","0.9767","22.8","23.3","143","07/01/2009","06/30/2012"
"WEST FLORIDA HOSPITAL","100231","FL","READM-30-PN-HRRP","513","","0.9561","17.5","18.3","87","07/01/2009","06/30/2012"
"PUTNAM COMMUNITY MEDICAL CENTER","100232","FL","READM-30-AMI-HRRP","59","","1.0459","20.0","19.1","14","07/01/2009","06/30/2012"
"PUTNAM COMMUNITY MEDICAL CENTER","100232","FL","READM-30-HF-HRRP","402","","1.1339","27.3","24.1","117","07/01/2009","06/30/2012"
"PUTNAM COMMUNITY MEDICAL CENTER","100232","FL","READM-30-PN-HRRP","288","","0.9838","17.3","17.6","49","07/01/2009","06/30/2012"
"WEST PALM HOSPITAL","100234","FL","READM-30-AMI-HRRP","62","","1.0394","25.8","24.8","18","07/01/2009","06/30/2012"
"WEST PALM HOSPITAL","100234","FL","READM-30-HF-HRRP","207","","0.9510","21.6","22.7","42","07/01/2009","06/30/2012"
"WEST PALM HOSPITAL","100234","FL","READM-30-PN-HRRP","91","","0.9865","18.4","18.7","16","07/01/2009","06/30/2012"
"FAWCETT MEMORIAL HOSPITAL","100236","FL","READM-30-AMI-HRRP","320","","0.9950","18.8","18.9","60","07/01/2009","06/30/2012"
"FAWCETT MEMORIAL HOSPITAL","100236","FL","READM-30-HF-HRRP","672","","1.0047","25.0","24.8","168","07/01/2009","06/30/2012"
"FAWCETT MEMORIAL HOSPITAL","100236","FL","READM-30-PN-HRRP","617","","1.0866","21.4","19.7","137","07/01/2009","06/30/2012"
"NORTHSIDE HOSPITAL","100238","FL","READM-30-AMI-HRRP","224","","1.2382","22.2","17.9","60","07/01/2009","06/30/2012"
"NORTHSIDE HOSPITAL","100238","FL","READM-30-HF-HRRP","404","","1.0546","25.5","24.2","106","07/01/2009","06/30/2012"
"NORTHSIDE HOSPITAL","100238","FL","READM-30-PN-HRRP","272","","1.1517","22.6","19.6","70","07/01/2009","06/30/2012"
"EDWARD WHITE HOSPITAL","100239","FL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"EDWARD WHITE HOSPITAL","100239","FL","READM-30-HF-HRRP","92","","0.9464","22.9","24.2","18","07/01/2009","06/30/2012"
"EDWARD WHITE HOSPITAL","100239","FL","READM-30-PN-HRRP","146","","1.0166","19.2","18.9","29","07/01/2009","06/30/2012"
"ANNE BATES LEACH EYE HOSPITAL","100240","FL","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ANNE BATES LEACH EYE HOSPITAL","100240","FL","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ANNE BATES LEACH EYE HOSPITAL","100240","FL","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"GULF COAST REGIONAL MEDICAL CENTER","100242","FL","READM-30-AMI-HRRP","61","","1.0461","19.4","18.6","14","07/01/2009","06/30/2012"
"GULF COAST REGIONAL MEDICAL CENTER","100242","FL","READM-30-HF-HRRP","274","","0.9303","21.2","22.7","54","07/01/2009","06/30/2012"
"GULF COAST REGIONAL MEDICAL CENTER","100242","FL","READM-30-PN-HRRP","356","","0.8222","15.2","18.4","43","07/01/2009","06/30/2012"
"BRANDON REGIONAL HOSPITAL","100243","FL","READM-30-AMI-HRRP","415","","0.9770","17.6","18.0","72","07/01/2009","06/30/2012"
"BRANDON REGIONAL HOSPITAL","100243","FL","READM-30-HF-HRRP","602","","0.9843","23.1","23.4","138","07/01/2009","06/30/2012"
"BRANDON REGIONAL HOSPITAL","100243","FL","READM-30-PN-HRRP","392","","1.1531","21.3","18.5","92","07/01/2009","06/30/2012"
"CAPE CORAL HOSPITAL","100244","FL","READM-30-AMI-HRRP","137","","1.0812","22.0","20.4","34","07/01/2009","06/30/2012"
"CAPE CORAL HOSPITAL","100244","FL","READM-30-HF-HRRP","856","","0.9817","21.7","22.1","185","07/01/2009","06/30/2012"
"CAPE CORAL HOSPITAL","100244","FL","READM-30-PN-HRRP","534","","0.9848","16.6","16.9","88","07/01/2009","06/30/2012"
"LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","100246","FL","READM-30-AMI-HRRP","501","","0.9743","17.4","17.9","86","07/01/2009","06/30/2012"
"LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","100246","FL","READM-30-HF-HRRP","663","","1.0343","24.1","23.3","162","07/01/2009","06/30/2012"
"LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","100246","FL","READM-30-PN-HRRP","240","","1.0071","18.6","18.4","45","07/01/2009","06/30/2012"
"LARGO MEDICAL CENTER","100248","FL","READM-30-AMI-HRRP","319","","1.0965","20.9","19.0","71","07/01/2009","06/30/2012"
"LARGO MEDICAL CENTER","100248","FL","READM-30-HF-HRRP","644","","1.0455","24.1","23.1","158","07/01/2009","06/30/2012"
"LARGO MEDICAL CENTER","100248","FL","READM-30-PN-HRRP","418","","1.0169","18.9","18.6","80","07/01/2009","06/30/2012"
"SEVEN RIVERS REGIONAL MEDICAL CENTER","100249","FL","READM-30-AMI-HRRP","143","","0.8409","17.6","21.0","17","07/01/2009","06/30/2012"
"SEVEN RIVERS REGIONAL MEDICAL CENTER","100249","FL","READM-30-HF-HRRP","314","","0.9252","21.1","22.8","62","07/01/2009","06/30/2012"
"SEVEN RIVERS REGIONAL MEDICAL CENTER","100249","FL","READM-30-PN-HRRP","185","","0.8884","16.0","18.0","23","07/01/2009","06/30/2012"
"RAULERSON HOSPITAL","100252","FL","READM-30-AMI-HRRP","54","","1.1285","24.1","21.3","19","07/01/2009","06/30/2012"
"RAULERSON HOSPITAL","100252","FL","READM-30-HF-HRRP","384","","1.0819","25.4","23.5","102","07/01/2009","06/30/2012"
"RAULERSON HOSPITAL","100252","FL","READM-30-PN-HRRP","121","","1.0085","19.4","19.3","24","07/01/2009","06/30/2012"
"JUPITER MEDICAL CENTER","100253","FL","READM-30-AMI-HRRP","85","","0.8692","19.9","22.9","Too Few To Report","07/01/2009","06/30/2012"
"JUPITER MEDICAL CENTER","100253","FL","READM-30-HF-HRRP","391","","0.9647","24.1","24.9","92","07/01/2009","06/30/2012"
"JUPITER MEDICAL CENTER","100253","FL","READM-30-PN-HRRP","340","","0.8844","14.9","16.9","44","07/01/2009","06/30/2012"
"CAPITAL REGIONAL MEDICAL CENTER","100254","FL","READM-30-AMI-HRRP","157","","1.1286","19.9","17.6","37","07/01/2009","06/30/2012"
"CAPITAL REGIONAL MEDICAL CENTER","100254","FL","READM-30-HF-HRRP","462","","1.1932","25.6","21.4","128","07/01/2009","06/30/2012"
"CAPITAL REGIONAL MEDICAL CENTER","100254","FL","READM-30-PN-HRRP","310","","0.9908","16.6","16.8","51","07/01/2009","06/30/2012"
"TOWN & COUNTRY HOSPITAL","100255","FL","READM-30-AMI-HRRP","27","","0.9705","20.2","20.9","Too Few To Report","07/01/2009","06/30/2012"
"TOWN & COUNTRY HOSPITAL","100255","FL","READM-30-HF-HRRP","157","","1.0463","26.3","25.2","44","07/01/2009","06/30/2012"
"TOWN & COUNTRY HOSPITAL","100255","FL","READM-30-PN-HRRP","83","","0.9852","16.7","16.9","13","07/01/2009","06/30/2012"
"REGIONAL MEDICAL CENTER BAYONET POINT","100256","FL","READM-30-AMI-HRRP","340","","1.0178","18.3","18.0","63","07/01/2009","06/30/2012"
"REGIONAL MEDICAL CENTER BAYONET POINT","100256","FL","READM-30-HF-HRRP","871","","1.0771","24.0","22.3","213","07/01/2009","06/30/2012"
"REGIONAL MEDICAL CENTER BAYONET POINT","100256","FL","READM-30-PN-HRRP","208","","0.8776","15.0","17.1","24","07/01/2009","06/30/2012"
"DELRAY MEDICAL CENTER","100258","FL","READM-30-AMI-HRRP","499","","0.9411","17.6","18.7","85","07/01/2009","06/30/2012"
"DELRAY MEDICAL CENTER","100258","FL","READM-30-HF-HRRP","1330","","1.0030","23.1","23.1","308","07/01/2009","06/30/2012"
"DELRAY MEDICAL CENTER","100258","FL","READM-30-PN-HRRP","798","","0.9576","16.3","17.1","128","07/01/2009","06/30/2012"
"SOUTH BAY HOSPITAL","100259","FL","READM-30-AMI-HRRP","92","","1.0407","21.8","20.9","22","07/01/2009","06/30/2012"
"SOUTH BAY HOSPITAL","100259","FL","READM-30-HF-HRRP","546","","1.1365","26.0","22.8","149","07/01/2009","06/30/2012"
"SOUTH BAY HOSPITAL","100259","FL","READM-30-PN-HRRP","312","","0.8622","15.1","17.6","39","07/01/2009","06/30/2012"
"ST LUCIE MEDICAL CENTER","100260","FL","READM-30-AMI-HRRP","155","","1.0000","21.9","21.9","34","07/01/2009","06/30/2012"
"ST LUCIE MEDICAL CENTER","100260","FL","READM-30-HF-HRRP","705","","0.9931","23.2","23.3","163","07/01/2009","06/30/2012"
"ST LUCIE MEDICAL CENTER","100260","FL","READM-30-PN-HRRP","483","","1.0413","18.8","18.0","93","07/01/2009","06/30/2012"
"OAK HILL HOSPITAL","100264","FL","READM-30-AMI-HRRP","342","","1.0720","20.4","19.0","73","07/01/2009","06/30/2012"
"OAK HILL HOSPITAL","100264","FL","READM-30-HF-HRRP","660","","1.0131","24.4","24.1","162","07/01/2009","06/30/2012"
"OAK HILL HOSPITAL","100264","FL","READM-30-PN-HRRP","505","","1.0546","19.8","18.8","103","07/01/2009","06/30/2012"
"MEASE COUNTRYSIDE HOSPITAL","100265","FL","READM-30-AMI-HRRP","485","","0.9426","17.7","18.8","83","07/01/2009","06/30/2012"
"MEASE COUNTRYSIDE HOSPITAL","100265","FL","READM-30-HF-HRRP","840","","0.9940","23.1","23.3","194","07/01/2009","06/30/2012"
"MEASE COUNTRYSIDE HOSPITAL","100265","FL","READM-30-PN-HRRP","592","","0.9293","16.4","17.6","93","07/01/2009","06/30/2012"
"GULF BREEZE HOSPITAL","100266","FL","READM-30-AMI-HRRP","39","","1.0135","18.9","18.6","Too Few To Report","07/01/2009","06/30/2012"
"GULF BREEZE HOSPITAL","100266","FL","READM-30-HF-HRRP","218","","0.9912","22.2","22.4","48","07/01/2009","06/30/2012"
"GULF BREEZE HOSPITAL","100266","FL","READM-30-PN-HRRP","227","","0.9722","16.6","17.0","36","07/01/2009","06/30/2012"
"ENGLEWOOD COMMUNITY HOSPITAL","100267","FL","READM-30-AMI-HRRP","80","","1.0332","20.5","19.9","18","07/01/2009","06/30/2012"
"ENGLEWOOD COMMUNITY HOSPITAL","100267","FL","READM-30-HF-HRRP","323","","0.9102","20.5","22.5","61","07/01/2009","06/30/2012"
"ENGLEWOOD COMMUNITY HOSPITAL","100267","FL","READM-30-PN-HRRP","171","","0.9580","16.0","16.7","25","07/01/2009","06/30/2012"
"WEST BOCA MEDICAL CENTER","100268","FL","READM-30-AMI-HRRP","86","","0.9788","22.2","22.6","18","07/01/2009","06/30/2012"
"WEST BOCA MEDICAL CENTER","100268","FL","READM-30-HF-HRRP","415","","1.0235","23.3","22.8","98","07/01/2009","06/30/2012"
"WEST BOCA MEDICAL CENTER","100268","FL","READM-30-PN-HRRP","205","","1.0098","16.8","16.6","35","07/01/2009","06/30/2012"
"PALMS WEST HOSPITAL","100269","FL","READM-30-AMI-HRRP","89","","1.0139","18.4","18.1","17","07/01/2009","06/30/2012"
"PALMS WEST HOSPITAL","100269","FL","READM-30-HF-HRRP","256","","1.0286","22.8","22.2","60","07/01/2009","06/30/2012"
"PALMS WEST HOSPITAL","100269","FL","READM-30-PN-HRRP","130","","1.0047","16.7","16.6","22","07/01/2009","06/30/2012"
"WELLINGTON REGIONAL MEDICAL CENTER","100275","FL","READM-30-AMI-HRRP","65","","1.0525","19.3","18.4","15","07/01/2009","06/30/2012"
"WELLINGTON REGIONAL MEDICAL CENTER","100275","FL","READM-30-HF-HRRP","175","","1.0271","23.1","22.5","42","07/01/2009","06/30/2012"
"WELLINGTON REGIONAL MEDICAL CENTER","100275","FL","READM-30-PN-HRRP","247","","1.0024","16.5","16.5","41","07/01/2009","06/30/2012"
"BROWARD HEALTH CORAL SPRINGS","100276","FL","READM-30-AMI-HRRP","45","","0.9453","21.8","23.0","Too Few To Report","07/01/2009","06/30/2012"
"BROWARD HEALTH CORAL SPRINGS","100276","FL","READM-30-HF-HRRP","198","","1.1112","26.7","24.1","59","07/01/2009","06/30/2012"
"BROWARD HEALTH CORAL SPRINGS","100276","FL","READM-30-PN-HRRP","115","","0.9857","17.2","17.5","19","07/01/2009","06/30/2012"
"DOUGLAS GARDENS HOSPITAL","100277","FL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DOUGLAS GARDENS HOSPITAL","100277","FL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DOUGLAS GARDENS HOSPITAL","100277","FL","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL WEST","100281","FL","READM-30-AMI-HRRP","165","","1.0864","20.0","18.4","37","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL WEST","100281","FL","READM-30-HF-HRRP","527","","1.1219","26.8","23.9","148","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL WEST","100281","FL","READM-30-PN-HRRP","341","","1.0754","19.9","18.5","72","07/01/2009","06/30/2012"
"WESTCHESTER GENERAL HOSPITAL","100284","FL","READM-30-AMI-HRRP","34","","1.0161","26.9","26.5","Too Few To Report","07/01/2009","06/30/2012"
"WESTCHESTER GENERAL HOSPITAL","100284","FL","READM-30-HF-HRRP","109","","1.0555","29.1","27.6","35","07/01/2009","06/30/2012"
"WESTCHESTER GENERAL HOSPITAL","100284","FL","READM-30-PN-HRRP","163","","1.1278","23.8","21.1","46","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL MIRAMAR","100285","FL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL MIRAMAR","100285","FL","READM-30-HF-HRRP","130","","1.1387","28.8","25.3","45","07/01/2009","06/30/2012"
"MEMORIAL HOSPITAL MIRAMAR","100285","FL","READM-30-PN-HRRP","161","","0.9347","16.0","17.1","22","07/01/2009","06/30/2012"
"PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE","100286","FL","READM-30-AMI-HRRP","172","","0.9386","16.2","17.3","25","07/01/2009","06/30/2012"
"PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE","100286","FL","READM-30-HF-HRRP","433","","1.0101","23.2","23.0","101","07/01/2009","06/30/2012"
"PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE","100286","FL","READM-30-PN-HRRP","380","","1.0147","16.6","16.4","64","07/01/2009","06/30/2012"
"GOOD SAMARITAN MEDICAL CENTER","100287","FL","READM-30-AMI-HRRP","108","","0.9766","17.7","18.1","18","07/01/2009","06/30/2012"
"GOOD SAMARITAN MEDICAL CENTER","100287","FL","READM-30-HF-HRRP","327","","0.9819","21.4","21.8","69","07/01/2009","06/30/2012"
"GOOD SAMARITAN MEDICAL CENTER","100287","FL","READM-30-PN-HRRP","287","","0.9702","16.6","17.1","46","07/01/2009","06/30/2012"
"ST MARY'S MEDICAL CENTER","100288","FL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ST MARY'S MEDICAL CENTER","100288","FL","READM-30-HF-HRRP","62","","1.0738","24.2","22.6","19","07/01/2009","06/30/2012"
"ST MARY'S MEDICAL CENTER","100288","FL","READM-30-PN-HRRP","83","","1.0072","17.6","17.5","15","07/01/2009","06/30/2012"
"CLEVELAND CLINIC HOSPITAL","100289","FL","READM-30-AMI-HRRP","88","","1.1100","20.4","18.4","23","07/01/2009","06/30/2012"
"CLEVELAND CLINIC HOSPITAL","100289","FL","READM-30-HF-HRRP","423","","1.0025","22.4","22.4","95","07/01/2009","06/30/2012"
"CLEVELAND CLINIC HOSPITAL","100289","FL","READM-30-PN-HRRP","311","","1.0678","19.0","17.8","63","07/01/2009","06/30/2012"
"VILLAGES REGIONAL HOSPITAL, THE","100290","FL","READM-30-AMI-HRRP","557","","1.0483","18.1","17.3","103","07/01/2009","06/30/2012"
"VILLAGES REGIONAL HOSPITAL, THE","100290","FL","READM-30-HF-HRRP","983","","1.0527","23.4","22.2","233","07/01/2009","06/30/2012"
"VILLAGES REGIONAL HOSPITAL, THE","100290","FL","READM-30-PN-HRRP","926","","0.9488","16.0","16.8","145","07/01/2009","06/30/2012"
"WUESTHOFF MEDICAL CENTER - MELBOURNE","100291","FL","READM-30-AMI-HRRP","30","","1.0610","20.5","19.3","Too Few To Report","07/01/2009","06/30/2012"
"WUESTHOFF MEDICAL CENTER - MELBOURNE","100291","FL","READM-30-HF-HRRP","137","","1.0696","23.6","22.0","36","07/01/2009","06/30/2012"
"WUESTHOFF MEDICAL CENTER - MELBOURNE","100291","FL","READM-30-PN-HRRP","164","","1.0506","17.8","17.0","32","07/01/2009","06/30/2012"
"SACRED HEART HOSPITAL ON THE EMERALD COAST","100292","FL","READM-30-AMI-HRRP","54","","0.9415","18.3","19.4","Too Few To Report","07/01/2009","06/30/2012"
"SACRED HEART HOSPITAL ON THE EMERALD COAST","100292","FL","READM-30-HF-HRRP","147","","0.8858","20.8","23.5","24","07/01/2009","06/30/2012"
"SACRED HEART HOSPITAL ON THE EMERALD COAST","100292","FL","READM-30-PN-HRRP","209","","0.8961","16.4","18.3","28","07/01/2009","06/30/2012"
"DOCTORS HOSPITAL INC","100296","FL","READM-30-AMI-HRRP","46","","1.0975","24.4","22.3","16","07/01/2009","06/30/2012"
"DOCTORS HOSPITAL INC","100296","FL","READM-30-HF-HRRP","307","","0.9965","24.2","24.3","74","07/01/2009","06/30/2012"
"DOCTORS HOSPITAL INC","100296","FL","READM-30-PN-HRRP","205","","0.9657","17.1","17.7","33","07/01/2009","06/30/2012"
"LAKEWOOD RANCH MEDICAL CENTER","100299","FL","READM-30-AMI-HRRP","125","","0.9053","14.8","16.4","14","07/01/2009","06/30/2012"
"LAKEWOOD RANCH MEDICAL CENTER","100299","FL","READM-30-HF-HRRP","195","","0.9298","21.0","22.6","37","07/01/2009","06/30/2012"
"LAKEWOOD RANCH MEDICAL CENTER","100299","FL","READM-30-PN-HRRP","163","","0.9596","15.5","16.2","23","07/01/2009","06/30/2012"
"ST CLOUD REGIONAL MEDICAL CENTER","100302","FL","READM-30-AMI-HRRP","43","","0.9720","21.9","22.5","Too Few To Report","07/01/2009","06/30/2012"
"ST CLOUD REGIONAL MEDICAL CENTER","100302","FL","READM-30-HF-HRRP","217","","0.9994","24.0","24.0","52","07/01/2009","06/30/2012"
"ST CLOUD REGIONAL MEDICAL CENTER","100302","FL","READM-30-PN-HRRP","161","","1.1208","21.3","19.0","41","07/01/2009","06/30/2012"
"ST VINCENT'S MEDICAL CENTER SOUTHSIDE","100307","FL","READM-30-AMI-HRRP","89","","1.0852","20.2","18.6","22","07/01/2009","06/30/2012"
"ST VINCENT'S MEDICAL CENTER SOUTHSIDE","100307","FL","READM-30-HF-HRRP","333","","0.9751","23.6","24.2","77","07/01/2009","06/30/2012"
