"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"MN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",74
"MN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",7
"MN","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"MN","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",18
"MN","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",82
"MN","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"MN","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",70
"MN","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",26
"MO","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",11
"MO","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"MO","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",63
"MO","How often did doctors communicate well with patients?","Doctors always communicated well",80
"MO","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"MO","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"MO","How often did nurses communicate well with patients?","Nurses always communicated well",74
"MO","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",6
"MO","How often did nurses communicate well with patients?","Nurses usually communicated well",20
"MO","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",62
"MO","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",11
"MO","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"MO","How often did staff explain about medicines before giving them to patients?","Staff always explained",58
"MO","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",24
"MO","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"MO","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"MO","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"MO","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"MO","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",55
"MO","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",13
"MO","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",32
"MO","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"MO","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
